> -L"001a"
-37.654722	58.367494
-37.438349	58.347862
-36.985625	58.44457
-36.625827	58.359998
-36.182831	58.385409
-35.815763	58.470792
-35.478171	58.395565
-34.985587	58.361275
-34.490243	58.319759
-34.062537	58.334899
-33.89175	58.281535
-33.731512	58.259015
-33.57315	58.272083
-33.334405	58.219247
-33.130892	58.25296
-32.958763	58.210218
-32.772609	58.262785
> -L"001b"
-31.437819	58.202162
-31.285581	58.161846
-31.233746	58.09757
-30.982129	58.080677
-30.738094	58.009581
-30.465289	58.048463
-30.223181	58.082896
-30.095724	58.089664
-29.863704	58.040527
-29.591342	58.024206
-29.393949	57.944049
-29.114643	57.947754
-28.98589	57.906822
-28.702754	57.920134
-28.48489	57.923642
-28.347046	57.880975
-28.091316	57.901475
-27.772415	57.848355
-27.665161	57.808388
> -L"002a"
-34.06753	57.375249
-34.294428	57.491243
-34.508053	57.636668
-34.723784	57.702701
-35.002469	57.706169
-35.305579	57.710404
-35.710426	57.741278
-36.062758	57.746299
-36.413244	57.811597
-36.747996	57.827004
-36.926663	57.896164
-37.312649	57.84661
-37.732269	57.84531
> -L"002b"
-32.548447	57.19411
-32.351776	57.257797
-32.214727	57.339353
-32.114461	57.317893
-31.859107	57.380508
-31.671712	57.404336
-31.443102	57.481785
-31.202799	57.513628
-30.989158	57.485515
-30.771988	57.443401
-30.623515	57.469388
-30.369783	57.414225
-30.009845	57.454483
-29.765062	57.398905
-29.518254	57.373678
-29.333589	57.336685
-28.966864	57.324366
> -L"003a"
-34.284537	56.949068
-34.589921	56.963935
-34.918893	57.013818
-35.223696	57.098829
-35.46248	57.192101
-35.704141	57.180334
-35.910023	57.179996
-36.248739	57.140061
-36.518472	57.15788
-36.612241	57.234226
-36.954681	57.258816
-37.18581	57.296107
-37.329764	57.376405
-37.370197	57.468855
-37.662094	57.480256
> -L"003b"
-33.603279	56.916785
-33.030096	56.891463
-32.667356	56.886981
-32.318293	56.899425
-32.164313	56.964351
-31.922864	56.968173
-31.764369	56.933959
-31.60156	56.940101
-31.386975	56.870454
-31.15811	56.870083
-30.897538	56.812196
-30.552459	56.826855
-30.224007	56.845627
-29.99111	56.91055
-29.798396	56.928325
-29.62959	57.019604
> -L"004a"
-36.169769	55.937509
-35.880778	55.949024
-35.608285	55.982504
-35.405067	55.974326
-35.199509	55.913582
-34.975129	55.911033
-34.836594	55.825129
> -L"004b"
-34.522212	55.821545
-34.285135	55.832025
-34.178076	55.881634
-33.978092	55.881401
-33.796653	55.957273
-33.603952	55.847372
> -L"005a"
-35.351499	55.248084
-35.562027	55.363691
-36.003098	55.3713
-36.297245	55.448326
-36.553845	55.406782
-36.809245	55.466694
-36.946894	55.575654
-37.087941	55.602551
-37.294269	55.550274
-37.51582	55.515358
-37.747282	55.49409
-37.908826	55.602645
-37.964847	55.792217
-38.130777	55.825617
-38.403854	55.825008
-38.496983	55.920122
-38.705381	55.964343
-38.794438	56.036485
-38.933525	56.106645
-39.066308	56.2907
> -L"005b"
-35.055713	55.295118
-34.890524	55.31941
-34.707137	55.295045
-34.551142	55.354161
-34.387904	55.418927
-34.182041	55.316574
-34.001143	55.281829
-33.856157	55.288215
-33.718001	55.308799
-33.600148	55.363275
-33.410028	55.357511
-33.259581	55.400278
-33.109796	55.299352
-32.976528	55.339929
-32.801364	55.434485
-32.547148	55.525571
-32.413966	55.581632
-32.144775	55.594063
-31.976665	55.691511
-31.8077	55.788731
-31.630009	55.932069
-31.479879	56.006569
> -L"006a"
-36.867683	55.007437
-36.712918	55.056131
-36.462375	55.123941
-36.045427	55.12746
-35.795119	55.129519
-35.597056	55.043719
> -L"006b"
-35.041791	55.013321
-34.785559	55.028565
-34.431287	54.982995
-34.16719	54.930049
-33.945543	54.853573
-33.80963	54.724003
> -L"007a"
-36.048329	54.644196
-36.139604	54.579088
-36.216124	54.496451
-36.470566	54.523188
-36.606712	54.496777
-36.741607	54.516847
-36.903814	54.588086
-37.098156	54.513901
-37.176073	54.447493
-37.451941	54.486466
-37.50499	54.565395
-37.654812	54.655021
-37.802349	54.577797
-37.860538	54.523516
-38.06858	54.561637
-38.313891	54.630708
> -L"007b"
-34.76174	54.610107
-34.599977	54.552553
-34.454046	54.475762
-34.329728	54.380185
-34.140869	54.403713
-33.977978	54.385316
-33.715562	54.34924
-33.609077	54.311071
-33.446451	54.318749
-33.364367	54.275517
-33.103061	54.311892
-32.899125	54.298754
-32.756527	54.293723
-32.66313	54.252369
> -L"008a"
-29.644682	40.543084
-29.807216	40.566313
-29.908077	40.654193
-29.93819	40.739767
-30.116548	40.78406
-30.212293	40.874734
-30.357734	40.844393
-30.504088	40.852694
-30.704156	40.806125
-30.880148	40.906818
> -L"008b"
-29.269429	40.570094
-29.161099	40.573553
-29.025478	40.642829
-28.871733	40.682044
-28.714844	40.693371
-28.644886	40.589349
-28.480248	40.610829
-28.330051	40.673275
-28.145545	40.671767
-28.066838	40.5464
-27.911699	40.588077
-27.756158	40.574921
-27.688536	40.486048
> -L"009a"
-37.143723	34.553059
-37.414794	34.528283
-37.483783	34.6388
-37.595871	34.671347
-37.660099	34.821099
-37.758507	34.870548
> -L"009b"
-36.477667	34.392474
-36.30365	34.384225
-36.135528	34.416483
-35.954039	34.42841
-35.888497	34.496685
-35.735605	34.504101
-35.573298	34.480865
> -L"010a"
-41.797863	32.181082
-41.962835	32.126929
-42.258311	32.209337
-42.316174	32.33954
-42.618079	32.366767
-42.864312	32.461698
-43.112358	32.445694
-43.40097	32.381507
-43.679437	32.354353
-43.797016	32.478704
-44.027139	32.457642
-44.210614	32.546114
-44.395535	32.555647
-44.488909	32.706347
-44.867648	32.843938
> -L"010b"
-39.021641	31.69649
-38.77871	31.736039
-38.565467	31.662272
-38.156931	31.712772
-37.916431	31.629465
-37.606559	31.607621
-37.461457	31.67371
-37.245967	31.556596
-37.203672	31.435018
-37.230116	31.230312
-36.988965	31.254014
-36.822073	31.260259
-36.79045	31.047077
-36.613918	31.062345
-36.50599	31.117892
-36.449485	30.980512
-36.244807	31.017652
> -L"011a"
-42.147892	31.855467
-42.323156	31.867234
-42.465675	31.89989
-42.648975	31.921958
-42.74807	31.89532
-42.843814	31.941394
-42.989139	31.923504
-43.173668	31.981731
-43.291562	31.944525
-43.51288	31.945036
-43.701406	31.884098
-43.76285	31.813094
-43.842986	31.731812
-43.990603	31.716677
-44.02953	31.784702
-44.017381	31.912867
-44.109161	32.055741
-44.323135	32.081636
-44.40511	32.045236
-44.691501	32.087435
-44.672057	32.253146
-44.818652	32.338567
-44.996534	32.452105
> -L"011b"
-39.331188	31.349405
-39.071352	31.40668
-38.862968	31.355235
-38.634732	31.329489
-38.488365	31.274047
-38.396289	31.209076
-38.222125	31.177465
-38.106946	31.137493
-38.019158	31.06003
-37.874726	31.047974
-37.75495	30.927663
-37.701233	30.761541
-37.538328	30.744597
-37.38875	30.796427
-37.276414	30.764985
-37.122541	30.626803
-36.960057	30.670624
-36.868953	30.68347
-36.79467	30.630113
-36.6016	30.687979
-36.457275	30.630238
> -L"012a"
-45.238572	25.998914
-45.508899	25.9105
-45.718538	25.981497
-45.944727	25.980363
-46.170459	26.192466
-46.494317	26.154668
-46.587086	26.219285
-46.77826	26.215859
-47.033601	26.436816
-47.344449	26.432093
> -L"012b"
-44.583477	25.948957
-44.374858	25.924594
-44.266449	25.731995
-44.099634	25.806443
-44.013531	25.719789
-43.804284	25.796268
-43.60803	25.746366
-43.44395	25.783141
-43.380811	25.797235
-43.28145	25.669797
-43.12741	25.713621
-42.985105	25.663057
-42.796434	25.677968
-42.563223	25.726382
-42.400967	25.730183
> -L"013a"
-45.554459	25.598946
-45.848824	25.589041
-46.027859	25.552468
-46.277561	25.568315
-46.527977	25.559771
-46.750395	25.539834
-46.891779	25.580678
-47.210533	25.520032
-47.41347	25.529987
-47.522543	25.567226
-47.778979	25.556078
> -L"013b"
-44.951127	25.610981
-44.843019	25.527902
-44.666804	25.441169
-44.515521	25.339826
-44.413705	25.276768
-44.191825	25.271679
-44.010239	25.187759
-43.89583	25.112162
-43.782205	25.099095
-43.638765	24.969365
-43.461243	24.957575
-43.267789	24.817241
-43.101574	24.696606
> -L"014a"
-45.70249	21.424213
-45.899526	21.592871
-46.005641	21.839305
-46.328023	21.983807
-46.605474	22.03693
-46.831097	22.059179
-46.998028	22.025285
-47.095297	22.022909
-47.170564	22.075103
-47.296664	21.993751
-47.417442	21.976137
-47.633945	21.788196
-47.887951	21.827003
-48.030296	21.875258
-48.106165	21.954386
-48.181875	22.031166
-48.365706	22.019634
-48.473108	21.979218
-48.676134	21.938706
-48.894214	21.97623
-49.045018	21.974111
-49.126925	22.046601
-49.210038	22.052327
-49.318981	22.143694
-49.397886	22.156959
-49.628644	22.136473
-49.844051	22.180612
-49.938345	22.276229
-50.115914	22.367583
-50.251076	22.346947
> -L"014b"
-45.263935	21.426733
-45.13634	21.473083
-45.066514	21.557025
-44.931373	21.662331
-44.760602	21.696957
-44.549612	21.671866
-44.329	21.621638
-44.118319	21.623152
-43.990122	21.576051
-43.874118	21.489045
-43.743271	21.537721
-43.613591	21.527044
-43.540256	21.40486
-43.498626	21.293125
-43.367379	21.182669
-43.232683	21.122953
-43.051571	21.132806
-42.970431	21.151548
-42.831619	21.162096
-42.777394	21.087119
-42.693217	20.977968
-42.576264	20.881651
-42.436842	20.808241
-42.358811	20.779637
-42.250755	20.804172
-42.112504	20.778405
-42.063112	20.668343
-41.931251	20.600026
-41.811573	20.591435
-41.692826	20.677368
-41.565438	20.690927
-41.508752	20.626612
-41.477689	20.519966
-41.302228	20.575005
-41.227193	20.591568
-41.077534	20.500324
-40.968556	20.407149
-40.825988	20.408561
-40.721427	20.435057
-40.596472	20.419418
-40.42211	20.388325
> -L"015a"
-47.964565	22.267332
-48.14261	22.210839
-48.308139	22.408458
-48.50439	22.574527
-48.680273	22.715783
-48.839941	22.843599
-49.035247	23.023289
-49.22098	23.16559
-49.43073	23.193398
-49.720897	23.095209
-49.916162	23.156567
-50.116243	23.276937
-50.281802	23.245234
-50.663006	23.311048
> -L"015b"
-42.891765	21.480952
-42.752346	21.361994
-42.608937	21.415668
-42.306614	21.424454
-42.07331	21.455883
-41.880757	21.481569
-41.716236	21.607158
-41.554108	21.508146
-41.407268	21.327837
-41.262896	21.337998
-41.041086	21.230329
-40.901566	21.177843
-40.8016	21.213435
-40.569829	21.145075
-40.379961	21.133531
> -L"016a"
-47.21124	20.881981
-47.069788	20.917989
-46.930725	20.886184
-46.813993	20.837474
-46.739029	20.778319
-46.638735	20.830926
-46.526038	20.856459
-46.421039	20.908726
-46.278409	20.828635
-46.173404	20.765677
-46.076058	20.716689
-45.990328	20.683531
-45.891769	20.743969
> -L"016b"
-45.389459	20.533518
-45.196322	20.542712
-45.031456	20.567468
-44.89106	20.664339
-44.829656	20.61831
-44.638882	20.53164
-44.527268	20.547469
-44.402211	20.488289
-44.259767	20.415804
-44.113734	20.380954
-43.978136	20.367392
-43.83982	20.34352
-43.646554	20.312868
> -L"017a"
-46.008779	19.756595
-46.191178	19.903201
-46.316785	20.114288
-46.478301	20.236219
-46.507648	20.37304
-46.637693	20.443302
-46.768072	20.437844
-46.866103	20.557295
-46.973751	20.58266
-47.119777	20.579859
-47.278297	20.574968
> -L"017b"
-45.653712	19.77095
-45.517565	19.883313
-45.352469	19.935097
-45.2179	20.035909
-45.073024	20.07035
-44.971277	20.119865
-44.861841	20.132789
-44.735621	20.172243
-44.532722	20.150998
-44.382703	20.200364
-44.245298	20.172169
> -L"018a"
-46.328958	18.906117
-46.528334	19.020931
-46.669948	18.977571
-46.804539	19.046924
-46.999015	19.078661
-47.161471	19.15301
-47.309677	19.159303
-47.447991	19.212501
-47.607392	19.247793
-47.787844	19.265123
-47.972797	19.288524
-48.144281	19.265831
-48.319295	19.281612
-48.415361	19.402223
-48.526747	19.476706
-48.716346	19.478419
-48.862326	19.439576
> -L"018b"
-46.000723	18.934413
-45.896399	18.859464
-45.680484	18.897034
-45.487351	18.918077
-45.356106	18.878149
-45.229068	18.884505
-45.013423	18.819243
-44.952428	18.757862
-44.769996	18.775281
-44.673294	18.744655
-44.527851	18.725782
-44.394887	18.752973
-44.27725	18.690863
-44.121806	18.631218
-43.963532	18.625799
-43.827993	18.73037
-43.681344	18.653841
-43.528586	18.659742
-43.30627	18.623635
> -L"019a"
-46.719303	18.500085
-47.057806	18.536542
-47.22274	18.61079
-47.455886	18.64781
-47.631122	18.637996
-47.711216	18.831298
-47.979994	18.879767
-48.216276	18.903645
-48.498215	18.962448
-48.728396	19.054153
-48.983855	19.171423
-49.136102	19.390914
-49.283375	19.523898
-49.545579	19.612905
-49.839555	19.657215
-50.067768	19.767912
-50.531807	19.87583
> -L"019b"
-46.227512	18.461345
-45.988137	18.414957
-45.795671	18.367725
-45.570747	18.325734
-45.400977	18.265128
-45.230015	18.277643
-45.09222	18.40476
-44.889956	18.458995
-44.792576	18.399177
-44.609437	18.391905
-44.3943	18.362849
-44.154054	18.328338
-43.994715	18.195056
-43.744315	18.228034
-43.599595	18.328057
-43.415534	18.369558
-43.32774	18.270759
-43.201826	18.334378
-43.008005	18.438668
-42.888945	18.383141
-42.775959	18.368983
-42.668889	18.285745
-42.491076	18.277521
-42.33252	18.233131
-42.216009	18.102318
-42.005566	18.076435
-41.814829	18.099878
-41.658454	18.090524
-41.491718	18.058632
> -L"020a"
-44.228637	12.240596
-44.456078	12.197072
-44.595417	12.208469
-44.690508	12.164098
-44.794019	12.250928
-44.980213	12.179652
-45.213059	12.238285
-45.425269	12.34777
-45.54568	12.188309
> -L"020b"
-43.697095	12.109104
-43.387102	12.084521
-43.116094	12.000209
-42.989371	11.947518
-42.900227	12.032802
-42.661086	12.029158
-42.500064	11.906782
-42.294625	11.867027
-42.068102	11.89035
-41.949466	11.857454
> -L"021a"
-43.911613	11.760348
-44.09554	11.775582
-44.19844	11.67893
-44.279367	11.656812
-44.303027	11.73134
-44.374926	11.77168
-44.511261	11.840765
-44.642837	11.908742
-44.790044	11.975034
-44.959237	12.011246
> -L"021b"
-43.56141	11.69206
-43.367667	11.667235
-43.312999	11.536807
-43.190233	11.545229
-43.10697	11.591942
-42.982318	11.582098
-42.911594	11.678909
-42.818571	11.741151
-42.638681	11.760338
-42.462185	11.73871
> -L"022b"
-40.339394	9.417688
-40.248785	9.411895
-40.187471	9.346286
-40.066016	9.309279
-39.960246	9.369898
-39.808373	9.347944
-39.60182	9.307465
-39.385632	9.417662
-39.183102	9.410364
-38.998924	9.452928
-38.783173	9.443448
-38.617219	9.273921
-38.487557	9.462119
-38.28739	9.452986
-38.123248	9.406315
-37.958351	9.295653
-37.859441	9.405216
-37.769577	9.351175
-37.682777	9.285105
-37.548642	9.532619
-37.414562	9.499449
-37.276063	9.356667
> -L"023a"
-34.592895	2.771232
-34.471265	2.777218
-34.323127	2.739856
-34.163244	2.711166
-33.923104	2.702599
-33.778175	2.729938
-33.636511	2.740871
-33.472819	2.716332
-33.324033	2.74786
-33.191907	2.775045
-33.020641	2.774619
-32.884	2.805508
-32.73616	2.857203
-32.706836	3.008733
-32.577299	3.018958
-32.442368	2.915813
-32.259557	2.916357
-32.174997	2.932525
-32.094447	3.033706
-32.022226	3.053338
-31.94728	3.101496
-31.841716	3.01719
-31.709155	3.074429
> -L"023b"
-31.044062	3.142018
-30.943188	3.074209
-30.858666	3.017379
-30.764622	2.954132
-30.668738	2.971613
-30.600827	3.034292
-30.482156	3.011688
-30.391357	2.984898
-30.281829	3.000238
-30.183712	3.039126
-30.020973	2.986422
-29.806107	3.014791
-29.653966	2.980635
-29.573163	3.022122
-29.426739	2.983996
-29.311381	3.023575
-29.169548	2.97665
-29.108166	2.99409
-28.998946	2.96919
-28.920319	2.961525
-28.856221	3.009543
-28.756614	2.987458
-28.679889	2.968138
-28.654732	2.99954
-28.555287	2.981214
-28.52684	3.024117
-28.415192	2.987385
-28.295017	3.01538
-28.089375	2.996747
> -L"024a"
-32.753363	2.411729
-32.603676	2.511598
-32.454188	2.491791
-32.281447	2.517905
-32.246206	2.597468
-32.07705	2.57245
-32.027534	2.667658
-31.934001	2.719979
-31.822464	2.644292
-31.69634	2.641189
-31.549043	2.675235
-31.446191	2.581627
-31.329925	2.609239
> -L"024b"
-30.670977	2.573031
-30.530705	2.589867
-30.486501	2.663165
-30.431261	2.726406
-30.361261	2.756003
-30.290401	2.709082
-30.17688	2.711616
-30.092969	2.725993
-29.975133	2.691749
-29.847352	2.671143
-29.742462	2.689086
-29.642502	2.640805
-29.556546	2.668437
-29.499714	2.697392
-29.436326	2.63953
-29.34737	2.659363
-29.234672	2.680253
> -L"025a"
-34.200977	1.060787
-34.113935	1.163498
-34.040118	1.330204
-33.905556	1.394469
-33.874149	1.491028
-33.739615	1.524537
-33.614677	1.472567
-33.41602	1.444445
-33.170233	1.353894
-33.015671	1.395111
-32.832052	1.396862
-32.734486	1.493227
-32.586405	1.52733
-32.481634	1.542392
-32.426761	1.606153
-32.282793	1.612951
-32.157052	1.659453
-32.043445	1.630698
-31.882629	1.610922
-31.795092	1.557148
-31.693543	1.571277
-31.588328	1.452652
-31.4239045891	1.40222109078
-31.2815966569	1.35716852231
-31.104698592	1.29179226277
-30.9621736295	1.24628571367
-30.7532855051	1.23068864665
> -L"025b"
-30.315195	1.239041
-30.202293	1.322546
-30.16922	1.425748
-30.069556	1.470969
-30.04254	1.579705
-29.89645	1.499189
-29.762626	1.560479
-29.654115	1.539257
-29.532274	1.608707
-29.495607	1.700256
-29.423701	1.779301
-29.276004	1.791777
-29.152303	1.820595
-28.966762	1.831849
-28.789405	1.831098
-28.676002	1.830373
-28.506386	1.776542
-28.377285	1.715903
-28.301393	1.643753
-28.173494	1.64365
-28.054753	1.718674
-27.944638	1.726482
-27.825883	1.67075
-27.719823	1.704515
-27.633607	1.792598
-27.568538	1.833254
-27.526598	1.936803
-27.409338	1.915846
-27.334624	1.869759
-27.27498	1.901448
-27.1806	1.87075
-27.082426	1.819877
-26.974019	1.734586
-26.94446	1.657443
-26.823089	1.607578
-26.715205	1.53387
> -L"026a"
-12.291571	-3.074606
-12.462966	-3.115754
-12.607331	-3.164411
-12.745958	-3.141258
-12.839352	-3.099813
-12.942218	-3.194172
-13.180186	-3.144379
-13.283544	-3.279674
-13.380527	-3.272824
-13.469945	-3.237126
-13.650164	-3.288616
-13.751314	-3.391593
-13.808692	-3.508079
-14.012359	-3.49175
-14.127095	-3.552114
-14.20985	-3.483168
-14.361726	-3.496789
-14.521733	-3.580189
-14.661803	-3.650312
-14.877328	-3.795169
-15.029702	-3.763372
-15.173173	-3.86135
> -L"026b"
-11.967982	-2.972339
-11.684755	-2.948714
-11.566112	-2.803292
-11.434	-2.789809
-11.31356	-2.714609
-11.183616	-2.66371
-11.011698	-2.639212
-10.859662	-2.660357
-10.773783	-2.755034
-10.613837	-2.667298
-10.553853	-2.557371
-10.376617	-2.513651
-10.072114	-2.521526
-9.869989	-2.460104
> -L"027a"
-19.425318	-4.578023
-19.185857	-4.431708
-18.978092	-4.384114
-18.828483	-4.376948
-18.695435	-4.292824
-18.561135	-4.30125
-18.390216	-4.345142
-18.318644	-4.29783
-18.194755	-4.298271
-17.993571	-4.298273
-17.719649	-4.330215
-17.524355	-4.280964
-17.315335	-4.452643
-17.076986	-4.515782
-16.910231	-4.297075
-16.720846	-4.206567
-16.522729	-4.023276
-16.399916	-3.958678
> -L"027b"
-8.647031	-2.072547
-8.504946	-2.020779
-8.298165	-2.106277
-8.137145	-1.999472
-8.021244	-2.113032
-7.910998	-2.25816
-7.793399	-2.099191
-7.728833	-2.000613
-7.597345	-1.887526
-7.290225	-1.883041
-7.198494	-1.744867
-7.070177	-1.678241
-6.979878	-1.604296
-6.848803	-1.634148
-6.707176	-1.592316
-6.590491	-1.559588
-6.453626	-1.643837
-6.314727	-1.652445
-6.186708	-1.720141
-6.05899	-1.63249
> -L"028a"
-12.462736	-4.154795
-12.672794	-4.10439
-12.84998	-4.187618
-12.989332	-4.169508
-13.131095	-4.201162
-13.264938	-4.268137
-13.388082	-4.178543
-13.519013	-4.216991
-13.674391	-4.117414
-13.812288	-4.163073
-13.967615	-4.226848
-14.019467	-4.13561
-14.217989	-4.178956
-14.307603	-4.152448
-14.445248	-4.212202
-14.600709	-4.283789
-14.756228	-4.332376
-14.829332	-4.41559
-14.94186	-4.488949
-15.06871	-4.384966
-15.213615	-4.444734
-15.316435	-4.471664
-15.389706	-4.551277
-15.515917	-4.493214
-15.636358	-4.53355
-15.720133	-4.500673
-15.747453	-4.342439
-15.842611	-4.367576
-15.926873	-4.365554
-16.046083	-4.451764
-16.188677	-4.465421
-16.237422	-4.601352
-16.3705	-4.656833
-16.411975	-4.793857
-16.567993	-4.816212
-16.709898	-4.809082
> -L"028b"
-11.974911	-3.851467
-11.806041	-3.886605
-11.718548	-3.809579
-11.607369	-3.824691
-11.508751	-3.765205
-11.358021	-3.790013
-11.242815	-3.680161
-11.082996	-3.640505
-11.025087	-3.50284
-10.852611	-3.448087
-10.77779	-3.365232
-10.616781	-3.338072
-10.503333	-3.258299
-10.400746	-3.205697
-10.22083	-3.166454
-10.065748	-3.111017
-9.929237	-3.204009
-9.790091	-3.119278
-9.699604	-3.020057
-9.588793	-3.102329
-9.540618	-3.163019
-9.430861	-3.059387
-9.320389	-2.982836
-9.198294	-2.905958
-9.130482	-2.830534
