lat,lon
  26.698643° -157.235105°
  26.766223° -157.041168°
  23.955955° -156.416420°
  14.939100° -162.839644°
   2.623128° -167.140141°
   1.125696° -164.084745°
  21.756787° -148.374707°
  21.226460° -147.141345°
  28.664841° -145.291441°
  28.611139° -145.202106°
  28.564528° -145.089616°
  28.490208° -145.000230°
  28.445549° -144.583894°
  28.104978° -143.378617°
  28.109011° -143.723796°
  28.213210° -143.766619°
  24.974541° -149.224360°
  29.398152° -145.069505°
  29.993007° -144.566094°
  30.386383° -144.397627°
  27.336953° -138.995196°
  26.881587° -137.221105°
  26.357898° -136.252553°
  27.379341° -133.189245°
  26.985785° -133.575249°
  26.826582° -133.791033°
  26.693069° -133.742873°
  26.836517° -133.619243°
  26.878905° -133.524787°
  26.898968° -133.432317°
  27.944817° -134.848881°
  29.209510° -133.104351°
  29.258431° -132.722169°
  28.824297° -132.798994°
  27.767422° -130.619643°
  17.053068° -146.005009°
  16.606887° -149.395801°
  16.716598° -148.280555°
  14.799946° -146.080119°
  17.805509° -143.915116°
  22.688889° -137.024759°
  23.083355° -136.928158°
  23.828466° -136.754574°
  24.082536° -136.792954°
  24.183383° -136.650332°
  24.179191° -137.091299°
  20.834498° -134.035133°
  20.046967° -135.094391°
  21.363053° -131.438407°
   9.703841° -149.555423°
   3.536765° -128.858872°
  23.832856° -136.747771°
  24.085471° -136.797797°
  24.194010° -136.657907°
  16.930686° -146.778658°
  16.724944° -148.261270°
  16.697479° -148.023447°
  17.055723° -145.998506°
  16.605649° -149.386157°
  20.687128° -144.998630°
  14.944335° -140.074306°
  27.502384° -128.192950°
  28.569594° -128.013419°
  28.299022° -130.013189°
  25.169409° -136.155385°
  23.595839° -135.129949°
  23.338367° -135.213608°
  23.081772° -136.941947°
  30.533659° -121.151137°
  30.785678° -123.530775°
  31.468146° -123.681637°
  33.077772° -123.779514°
  32.950644° -123.621413°
  33.082739° -121.405142°
  33.514156° -121.062313°
  49.540580° -135.981842°
  56.490911° -143.326952°
  56.280162° -143.308983°
  45.636200° -146.314907°
 -22.919199° -148.302481°
 -19.354406° -137.019283°
 -19.326800° -136.758412°
 -19.008069° -136.254365°
 -18.792477° -136.103099°
 -17.605848° -135.967858°
 -29.495491° -147.235374°
 -29.360781° -146.914766°
 -29.800567° -133.953092°
 -28.472948° -131.794105°
 -28.009950° -129.891140°
 -27.540307° -127.633187°
 -27.282787° -127.710079°
 -26.887884° -127.943268°
  12.619295° -117.288493°
  12.276875° -116.416902°
  12.253964° -116.224801°
  12.356184° -116.114494°
  11.958832° -115.919586°
  12.964438° -115.002773°
  13.675471° -119.041600°
  17.423512° -114.785005°
  17.636516° -116.871356°
  17.516255° -116.564237°
  16.512669° -117.863442°
  18.226765° -118.332367°
  21.142928° -119.045631°
  26.457432° -115.574270°
  26.279352° -115.515760°
  30.454696° -118.804766°
  30.340297° -118.287461°
   9.061568° -113.019128°
  11.167020° -110.953326°
  13.606475° -101.298204°
  -1.041426°  -99.545930°
 -20.788040° -117.570086°
 -28.535021° -113.863199°
 -28.848592° -113.872706°
 -29.368873° -114.844071°
 -27.913261° -114.753547°
 -24.522510° -108.163631°
 -24.215399° -107.591040°
 -21.436675° -105.864884°
 -21.232249° -105.645509°
 -14.460404°  -95.195308°
 -14.400991°  -95.825696°
 -15.523643°  -95.311029°
 -15.399824°  -96.270846°
 -16.144416°  -98.135401°
 -16.045255°  -97.735167°
 -16.053924°  -97.409967°
 -11.894764°  -93.540590°
 -10.443275°  -93.430531°
 -10.237860°  -93.381220°
  -9.920476°  -93.702964°
  -6.826128°  -89.109994°
  -6.479985°  -88.995693°
  -7.107189°  -87.031426°
  -7.772738°  -86.773450°
  -7.508318°  -86.038157°
  -7.383561°  -86.032295°
  -7.337672°  -85.895256°
  -6.795145°  -85.240431°
  -5.298542°  -85.105688°
  -5.508901°  -84.933457°
  -5.474530°  -84.752724°
  -5.210280°  -84.057100°
  -4.818510°  -85.826683°
  -6.817709°  -89.125654°
  -5.323607°  -89.207762°
  -3.356982°  -88.331477°
  -6.554479°  -84.829383°
  -6.420243°  -84.115917°
  -6.274550°  -84.594687°
  -5.909338°  -85.065669°
  -5.888705°  -84.532555°
  -5.212058°  -84.358725°
  -4.967676°  -83.903890°
  -4.857701°  -83.558067°
  -4.867631°  -83.323124°
  -4.563622°  -83.203185°
  -3.925985°  -82.783211°
  -4.908232°  -84.802897°
  -5.582429°  -85.228839°
  -6.566195°  -84.818811°
 -11.443542°  -86.145830°
 -11.622232°  -85.172171°
 -11.699969°  -84.912908°
 -11.742789°  -84.786318°
 -11.476834°  -84.641070°
 -11.702440°  -84.502026°
 -11.920446°  -84.528463°
 -11.907568°  -84.760981°
 -12.355969°  -86.181853°
   3.404191°  -83.605794°
   3.225086°  -83.322115°
   2.979971°  -83.808170°
   2.649157°  -85.364916°
   3.345199°  -86.312973°
   3.422772°  -86.923225°
   3.386928°  -87.499637°
   4.598680°  -88.658921°
   5.197777°  -88.528308°
   2.247817°  -89.759785°
   2.275843°  -89.676525°
   2.472732°  -89.520734°
   4.402132°  -87.305487°
   4.400769°  -87.455761°
   4.520982°  -87.566769°
   1.567379°  -89.641946°
   1.548006°  -89.557942°
   1.470440°  -89.996448°
   1.570764°  -90.020812°
   1.662767°  -90.236366°
   1.736882°  -90.196785°
   2.021716°  -90.260042°
   2.203320°  -90.197937°
   2.232243°  -91.132278°
   2.964080°  -90.722048°
   2.918483°  -90.567171°
   6.037316° -100.910528°
   9.021016°  -99.600011°
   9.580005°  -99.441760°
  10.526424° -100.244346°
  10.668959° -100.223471°
  14.874516°  -99.263000°
  15.551320° -100.353998°
  16.214458° -103.416855°
  14.799453° -104.486966°
  14.642102° -108.452659°
  16.645574° -109.043576°
  22.767070° -117.382187°
  47.094827° -130.490462°
  10.176274° -159.640319°
   4.761882°  179.937345°
  -7.370465° -155.561173°
   7.326210° -157.195934°
  28.041051° -139.562979°
  10.557235° -142.005183°
  26.507022° -143.112928°
  22.812829° -138.496224°
  18.902906° -135.907901°
  18.967028° -134.759127°
  17.682637° -125.539329°
  12.167752° -144.548566°
 -16.961140° -124.718092°
 -15.305721° -132.100700°
 -15.236003° -131.901727°
 -28.978327° -135.029680°
 -24.430676° -131.963402°
 -20.566540° -129.650361°
 -19.569095° -128.656071°
  -7.814058° -146.861063°
 -14.813620° -141.480704°
 -16.716924° -127.086073°
 -19.567503° -128.634798°
 -24.943395° -132.945681°
 -26.207850° -131.995869°
 -31.756376° -132.416319°
 -40.256020° -129.293371°
 -50.982466° -129.720043°
 -50.410152° -122.684323°
 -50.443817° -122.475054°
 -50.485072° -122.179352°
 -55.207435° -122.025870°
 -11.181515° -127.040987°
 -10.960486° -127.307803°
 -11.470440° -128.060253°
 -11.344621° -127.919906°
   6.082102° -124.599222°
  -9.799240° -136.046729°
  -9.839311° -135.749192°
  -9.665328° -135.721832°
  -9.660534° -135.430095°
 -10.045095° -135.292422°
 -10.131251° -135.401801°
  -9.369474° -134.734163°
  -8.543733° -135.604033°
  -9.305151° -136.583048°
 -10.266994° -136.876848°
   5.091021° -146.253810°
   5.192827° -147.542546°
  28.105725° -143.380985°
  20.677665° -145.001803°
  24.192373° -136.649809°
  24.087838° -136.802358°
  23.823191° -136.749435°
  26.890007° -137.226219°
  28.098901° -143.367742°
  28.219412° -143.762955°
  28.107416° -143.728143°
  24.973684° -149.238728°
  16.132105° -152.339545°
  16.144841° -150.670463°
  32.532738° -150.065447°
  47.703757° -154.777592°
  15.792570° -150.592797°
  16.152350° -150.669474°
  15.969020° -151.343581°
  16.122484° -152.342250°
  15.066078° -153.564779°
  -8.613270° -144.504069°
  -6.500205° -142.497571°
  45.017991° -135.053342°
  45.024103° -135.066068°
