Longitude,Latitude,Name
-111.891666667,-18.1916666667,SIO-08041
-111.758333333,-17.4916666667,KW-13668
-112.641666667,-17.4583333333,SIO-08045
-112.608333333,-17.6416666667,SIO-08047
-112.025,-17.4083333333,SIO-08050
-112.491666667,-17.3416666667,SIO2-04545
-111.425,-18.175,SIO-08370
-111.658333333,-18.0083333333,SIO-08048
-112.491666667,-17.875,SIO2-04546
-112.341666667,-18.0583333333,SIO2-04555
-111.675,-17.2583333333,SIO2-04552
-111.441666667,-17.5083333333,SIO2-04554
-111.6144,-16.902937,mh13
-112.248053,-17.040705,mh14
-112.044639,-17.087561,mh15
-111.708029,-17.042398,mh16
-111.310141,-17.228969,mh17
-112.891198,-17.317706,mh18
-110.821151,-17.40706,mh19
-110.643008,-17.437029,mh20
-112.501462,-17.514197,mh21
-111.848244,-17.491558,mh22
-110.915171,-17.534487,mh23
-110.836079,-17.556232,mh24
-110.530683,-17.643468,mh25
-112.778797,-17.843803,mh26
-111.421404,-17.842656,mh27
-112.832315,-17.924545,mh28
-112.785252,-17.959853,mh29
-111.136031,-17.960465,mh30
-112.719513,-18.038246,mh31
-112.658317,-18.045914,mh32
-111.970442,-18.013939,mh33
-111.717041,-18.292171,mh34
-110.911903,-18.235852,mh35
-112.456502,-18.454981,mh36
-110.769675,-18.337738,mh37
-111.211819,-18.509587,mh38
-110.683093,-18.616285,mh39
-112.237529,-18.725976,mh40
-110.57797,-18.974512,mh41
-111.157616,-18.267421,mh42
-112.091609,-17.640363,mh43
